Phylum,Time 0 small 50,Time 0 small surf
Proteobacteria,28.8921119028591,23.9318164751821
Actinobacteria,67.287535618198,73.1896573302295
Planctomycetes,0,0
Firmicutes,0.196658479537058,0
Verrucomicrobia,3.60889231065345,0
Acidobacteria,0,0
Aquificae,0.0148016887523902,0
Bacteroidetes,0,0
Chloroflexi,0,0
Fusobacteria,0,0
Fibrobacteres,0,0
Elusimicrobia,0,0
Candidatus Micrarchaeota,0,0
Candidatus Rokubacteria,0,0
Candidatus Aminicenantes,0,0
Candidatus Saccharibacteria,0,0
Balneolaeota,0,0
Calditrichaeota,0,0
Crenarchaeota,0,0
Thaumarchaeota,0,0
Euryarchaeota,0,0
Streptophyta,0,0
Chlorophyta,0,0
Bacillariophyta,0,0
Chlorobi,0,0
Cyanobacteria,0,0
Basidiomycota,0,2.87852619458837
Ascomycota,0,0
Oomycota,0,0
Mucoromycota,0,0
Apicomplexa,0,0
Tubulinea,0,0
Parabasalia,0,0
Evosea,0,0
Haptista,0,0
Uroviricota,0,0
Negarnaviricota,0,0
